player_id,name,team,batting_style,bowling_style,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,batting_strike_rate,bowling_economy,player_rating
26,Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,106.0,81.0,8.0,6.0,4.0,1.0,0.0,14.0,0.0,0.0,0.0,130.8641975308642,14.0,96.74567901234568
27,Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,Batting Allrounder,118.0,73.0,11.0,6.0,4.0,3.1,3.0,19.0,0.0,0.0,0.0,161.64383561643837,6.129032258064516,119.70592134334956
28,Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,126.0,78.0,7.0,9.0,4.0,9.0,1.0,87.0,0.0,4.0,0.0,161.53846153846155,9.666666666666666,115.24871794871797
29,Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,1.0,1.0,0.0,0.0,1.0,15.0,5.0,124.0,0.0,5.0,0.0,100.0,8.266666666666667,86.69333333333333
30,Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,21.0,20.0,2.0,1.0,2.0,16.0,3.0,132.0,0.0,5.0,0.0,105.0,8.25,86.7
31,Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,4.0,7.0,0.0,0.0,1.0,12.0,3.0,102.0,1.0,3.0,1.0,57.14285714285714,8.5,65.45714285714286
32,Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,0.0,0.0,0.0,0.0,,4.0,1.0,25.0,0.0,1.0,0.0,0.0,6.25,39.5
33,Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,0.0,0.0,0.0,0.0,,8.5,2.0,65.0,0.0,2.0,0.0,0.0,7.647058823529412,40.94117647058824
34,Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler,4.0,5.0,1.0,0.0,1.0,19.7,7.0,153.0,0.0,10.0,2.0,80.0,7.766497461928934,83.39340101522842
35,Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,0.0,0.0,0.0,0.0,,3.1,1.0,24.0,0.0,1.0,0.0,0.0,7.741935483870967,38.903225806451616
36,Regis Chakabva†,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,32.0,55.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18181818181818,0.0,65.27272727272728
37,Craig Ervine(c),Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,112.0,125.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,89.60000000000001,0.0,82.34
38,Wessly Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,106.0,83.0,15.0,2.0,8.0,3.0,0.0,25.0,0.0,0.0,0.0,127.71084337349396,8.333333333333334,97.25100401606426
39,Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,155.0,137.0,14.0,2.0,8.0,18.0,5.0,111.0,0.0,4.0,1.0,113.13868613138686,6.166666666666667,101.78880778588808
40,Sikandar Raza,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder,219.0,148.0,16.0,11.0,8.0,24.0,10.0,156.0,0.0,5.0,1.0,147.97297297297297,6.5,135.5891891891892
41,Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter,65.0,82.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,79.26829268292683,0.0,74.20731707317073
42,Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter,101.0,97.0,11.0,2.0,7.0,5.0,0.0,48.0,0.0,0.0,0.0,104.1237113402062,9.6,85.3094845360825
43,Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,55.0,41.0,6.0,1.0,4.0,5.0,2.0,59.0,0.0,3.0,1.0,134.14634146341464,11.8,96.93853658536585
44,Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,170.0,127.0,16.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,133.85826771653544,0.0,107.54330708661418
45,Andy Balbirnie(c),Ireland,Right hand Bat,Right arm Offbreak,Batter,153.0,123.0,10.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,124.39024390243902,0.0,103.7560975609756
46,Lorcan Tucker†,Ireland,Right hand Bat,,Wicketkeeper Batter,204.0,163.0,19.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,125.15337423312884,0.0,103.56134969325154
