player_id,name,team,playing_role,batting_runs,total_balls,total_fours,total_sixes,matches_played,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs
52,Simi Singh,Ireland,Bowling Allrounder,7.0,9.0,1.0,0.0,2.0,9.0,3.0,78.0,0.0,1.0,0.0
53,Barry McCarthy,Ireland,Bowler,36.0,33.0,1.0,2.0,5.0,25.0,5.0,227.0,0.0,8.0,1.0
54,Josh Little,Ireland,Bowler,16.0,21.0,1.0,1.0,4.0,27.0,11.0,189.0,0.0,8.0,0.0
55,Richard Ngarava,Zimbabwe,Bowler,21.0,20.0,0.0,2.0,5.0,28.0,9.0,197.0,1.0,7.0,3.0
56,Tendai Chatara,Zimbabwe,Bowler,13.0,19.0,1.0,0.0,3.0,23.0,4.0,155.0,1.0,4.0,0.0
57,Blessing Muzarabani,Zimbabwe,Bowler,2.0,12.0,0.0,0.0,4.0,26.0,12.0,199.0,0.0,4.0,4.0
58,Hazratullah Zazai,Afghanistan,Opening Batter,7.0,17.0,1.0,0.0,1.0,,,,,,
59,Rahmanullah Gurbaz†,Afghanistan,Wicketkeeper Batter,68.0,50.0,4.0,5.0,3.0,,,,,,
60,Ibrahim Zadran,Afghanistan,Opening Batter,80.0,83.0,6.0,2.0,3.0,,,,,,
61,Usman Ghani,Afghanistan,Opening Batter,59.0,64.0,5.0,1.0,3.0,,,,,,
62,Najibullah Zadran,Afghanistan,Middle order Batter,31.0,29.0,1.0,1.0,3.0,,,,,,
63,Mohammad Nabi(c),Afghanistan,Allrounder,17.0,15.0,1.0,0.0,3.0,,,,,,
64,Azmatullah Omarzai,Afghanistan,Allrounder,11.0,10.0,1.0,0.0,2.0,3.1,0.0,28.0,0.0,4.0,0.0
65,Rashid Khan,Afghanistan,Bowling Allrounder,57.0,32.0,4.0,4.0,3.0,12.0,4.0,77.0,0.0,2.0,0.0
66,Mujeeb Ur Rahman,Afghanistan,Bowler,1.0,3.0,0.0,0.0,2.0,12.0,4.0,88.0,0.0,1.0,0.0
67,Fareed Ahmad,Afghanistan,Bowler,2.0,4.0,0.0,0.0,1.0,4.0,1.0,48.0,0.0,2.0,0.0
68,Fazalhaq Farooqi,Afghanistan,Bowler,0.0,2.0,0.0,0.0,1.0,11.3,3.0,75.0,1.0,4.0,0.0
69,Jos Buttler(c)†,England,Wicketkeeper Batter,225.0,156.0,24.0,7.0,6.0,,,,,,
70,Alex Hales,England,Opening Batter,212.0,144.0,19.0,10.0,6.0,,,,,,
71,Dawid Malan,England,Top order Batter,56.0,68.0,2.0,0.0,3.0,,,,,,
72,Ben Stokes,England,Allrounder,110.0,104.0,7.0,1.0,5.0,16.2,6.0,111.0,0.0,3.0,1.0
73,Liam Livingstone,England,Batting Allrounder,55.0,44.0,4.0,1.0,5.0,12.0,3.0,96.0,0.0,1.0,0.0
74,Harry Brook,England,Batter,56.0,58.0,2.0,1.0,5.0,,,,,,
75,Moeen Ali,England,Batting Allrounder,57.0,46.0,6.0,1.0,5.0,2.0,0.0,9.0,0.0,0.0,0.0
76,Chris Woakes,England,Allrounder,5.0,3.0,1.0,0.0,1.0,20.0,5.0,172.0,0.0,9.0,0.0
77,Mark Wood,England,Bowler,,,,,,14.0,9.0,108.0,0.0,4.0,0.0
