player_id,name,team,batting_style,bowling_style,playing_role,role_consistency_score
90,Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowler,0.7462922425978639
91,Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,Bowler,0.13559003739132403
92,Aayan Afzal Khan,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,0.836945501108091
93,Chirag Suri,U.A.E.,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter,0.3738830482423211
94,Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder,0.7775269511387531
95,Zawar Farid,U.A.E.,Right hand Bat,Right arm Medium,Bowler,0.8329608794597673
96,Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium fast,Opening Batter,0.9533444192766859
97,Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,0.4631973609575749
98,Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,0.0863893352874594
99,Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,0.1736103583137968
100,Tom Cooper,Netherlands,Right hand Bat,Right arm Offbreak,Middle order Batter,0.5629099074365062
101,Scott Edwards(c)†,Netherlands,Right hand Bat,,Wicketkeeper Batter,0.39367056884755713
102,Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,0.5710471466277668
103,Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,0.8019751800454324
104,Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,0.6882189525423474
105,Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,0.8761051207236801
106,Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,0.5853473229254664
107,Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,0.19342909901359573
108,Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,0.4780274183141596
109,Evin Lewis,West Indies,Left hand Bat,,Opening Batter,0.8036460402912375
110,Brandon King,West Indies,Right hand Bat,,Top order Batter,0.7307124257420639
111,Nicholas Pooran(c)†,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.5352636127893332
112,Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,0.02323457174299859
113,Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,0.20777486520959398
114,Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,0.430044948053366
115,Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,0.11876170410188291
116,Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,0.6145891291943425
117,Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,0.3856948285205387
118,Mohammad Rizwan†,Pakistan,Right hand Bat,,Wicketkeeper Batter,0.9065501962890846
119,Babar Azam(c),Pakistan,Right hand Bat,Right arm Offbreak,Batter,0.49970570152142313
120,Shan Masood,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,0.6628844102154046
121,Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,0.40379388042201714
122,Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,0.48172839008253265
123,Haider Ali,Pakistan,Right hand Bat,,Middle order Batter,0.4260673572951278
124,Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,0.8926182585462649
125,Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,0.7078843940080849
126,Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,0.6445674333631174
127,Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,0.6332384679660986
128,KL Rahul,India,Right hand Bat,,Opening Batter,0.605367352427943
129,Rohit Sharma(c),India,Right hand Bat,Right arm Offbreak,Top order Batter,0.184932783364267
130,Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,0.5761445731324453
131,Suryakumar Yadav,India,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,0.9020856588797805
132,Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,0.0005114684882291387
133,Hardik Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,0.36989130011275284
134,Dinesh Karthik†,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,0.5415152753016623
135,Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder,0.6421010792265724
136,Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler,0.021000976028920593
137,Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,0.9342027392037736
138,Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler,0.6863762369810934
139,Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,0.6058869923649188
140,Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,0.7843497467269993
141,Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter,0.9896171477979938
142,Litton Das,Bangladesh,Right hand Bat,,Wicketkeeper Batter,0.5452274861953497
143,Shakib Al Hasan(c),Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,0.22256391482712845
144,Afif Hossain,Bangladesh,Left hand Bat,Right arm Offbreak,Allrounder,0.2507209290515231
145,Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,0.5521486041494135
146,Nurul Hasan†,Bangladesh,Right hand Bat,,Wicketkeeper Batter,0.4080798670583541
147,Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,0.8711522022756876
148,Taskin Ahmed,Bangladesh,Left hand Bat,Right arm Fast,Bowler,0.709367397765327
149,Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Medium,Bowler,0.7382761587589175
150,Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler,0.39124741590661294
151,Shakib Al Hasan,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Allrounder,0.7521609889980486
152,Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,0.6184392393771012
153,Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder,0.3830872853212084
154,George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter,0.46626645398410815
155,Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter,0.5463204964601794
156,Matthew Cross†,Scotland,Right hand Bat,,Wicketkeeper Batter,0.9856790804330647
157,Richie Berrington(c),Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,0.7169039178395377
158,Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,0.48274010619242513
159,Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,0.8287809079937737
160,Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler,0.9174172705361898
161,Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter,0.7510911345881945
162,Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,0.6193399374195059
163,Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler,0.14890859323705685
164,Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler,0.9474331954190116
165,Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,0.8709509219482852
166,Quinton de Kock†,South Africa,Left hand Bat,,Wicketkeeper Batter,0.8946171702395559
167,Temba Bavuma(c),South Africa,Right hand Bat,Right arm Medium,Middle order Batter,0.4806392796992742
