player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating
11,Dhananjaya de Silva,Sri Lanka,Allrounder,All-rounder,8.0,177.0,137.0,15.0,4.0,22.12,129.2,12.1,6.0,83.0,0.0,0.0,0.0,13.83,6.86,12.1,119.01612025238154,41.18181818181819,80.09896921709986,0.5497318897633491,88.9055607602624
48,Curtis Campher,Ireland,Allrounder,Batting All-rounder,6.0,126.0,77.0,12.0,2.0,21.0,163.64,8.0,2.0,74.0,0.0,0.0,0.0,37.0,9.25,24.0,117.54025974025974,31.849999999999998,74.69512987012988,0.9099355739836884,88.28868104456244
28,Marcus Stoinis,Australia,Batting Allrounder,Batting All-rounder,4.0,126.0,78.0,7.0,9.0,31.5,161.54,9.0,1.0,87.0,0.0,4.0,0.0,87.0,9.67,54.0,134.13311355311356,30.115555555555556,82.12433455433455,0.3711320505441049,88.22012909087861
155,Michael Jones,Scotland,Top order Batter,Batsman,3.0,110.0,77.0,10.0,4.0,36.67,142.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.11688311688312,24.012012012012015,76.56444756444756,0.7609940386822563,88.21746519875653
128,KL Rahul,India,Opening Batter,Batsman,6.0,128.0,106.0,8.0,8.0,21.33,120.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.54226415094338,24.012012012012015,75.2771380814777,0.7888241293961643,87.15322266358899
13,Bhanuka Rajapaksa,Sri Lanka,Top order Batter,Batsman,7.0,125.0,105.0,14.0,2.0,17.86,119.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.72685714285713,24.012012012012015,72.86943457743457,0.9737712840341476,87.06106715249672
166,Quinton de Kock,South Africa,Wicketkeeper Batter,Batsman,5.0,124.0,77.0,16.0,5.0,24.8,161.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.79327188940093,27.013513513513516,81.90339270145722,0.3020934063967105,86.85188768078336
199,Mohammad Haris,Pakistan,Middle order Batter,Batsman,4.0,97.0,67.0,6.0,6.0,24.25,144.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.12386367133405,27.013513513513516,71.56868859242378,0.992247519670907,85.77145934081018
118,Mohammad Rizwan,Pakistan,Wicketkeeper Batter,Batsman,7.0,175.0,160.0,15.0,3.0,25.0,109.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.58357142857143,27.013513513513516,73.79854247104248,0.657173059373204,83.49822525763814
133,Hardik Pandya,India,Allrounder,All-rounder,5.0,128.0,97.0,7.0,7.0,25.6,131.96,18.0,8.0,146.0,0.0,3.0,1.0,18.25,8.11,13.5,107.58975515463916,42.67777777777778,75.13376646620847,0.5291506432869845,83.08518263784212
195,Aiden Markram,South Africa,Opening Batter,Bits and Pieces,4.0,99.0,79.0,13.0,1.0,24.75,125.32,3.0,1.0,21.0,0.0,1.0,0.0,21.0,7.0,18.0,116.8828078250863,24.186666666666667,70.53473724587649,0.7853292857895762,81.61333621080841
45,Andy Balbirnie,Ireland,Batter,Batsman,7.0,153.0,123.0,10.0,9.0,21.86,124.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.08747010999522,30.015015015015017,72.05124256250512,0.5942026141954841,80.6138498998398
154,George Munsey,Scotland,Opening Batter,Batsman,3.0,121.0,106.0,16.0,0.0,40.33,114.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.39377514423826,24.012012012012015,70.70289357812514,0.6747886402094627,80.24479546141663
129,Rohit Sharma,India,Top order Batter,Batsman,6.0,116.0,109.0,11.0,4.0,19.33,106.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.94601708320151,24.012012012012015,68.97901454760677,0.7686764775755103,79.58352373342362
106,Paul van Meekeren,Netherlands,Bowler,Bowling All-rounder,4.0,45.0,27.0,6.0,1.0,11.25,166.67,31.0,11.0,198.0,0.0,5.0,1.0,18.0,6.39,16.91,80.13333333333334,57.56516129032258,68.84924731182795,0.717313823799403,78.72655068281956
121,Iftikhar Ahmed,Pakistan,Middle order Batter,Batting All-rounder,7.0,114.0,93.0,6.0,6.0,16.29,122.58,3.5,1.0,28.0,0.0,0.0,0.0,28.0,8.0,21.0,108.92390492359931,27.282857142857143,68.10338103322823,0.7159942221651084,77.85570649916828
99,Colin Ackermann,Netherlands,Batting Allrounder,Batting All-rounder,8.0,165.0,149.0,13.0,4.0,20.62,110.74,7.0,1.0,37.0,0.0,0.0,0.0,37.0,5.29,42.0,118.3748322147651,33.848571428571425,76.11170182166826,0.1047807117781505,77.70670947997242
120,Shan Masood,Pakistan,Opening Batter,Batsman,7.0,175.0,148.0,12.0,1.0,25.0,118.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8653281853282,24.012012012012015,77.4386700986701,0.0170795326356043,77.7031933573117
23,Charith Asalanka,Sri Lanka,Batting Allrounder,Batsman,7.0,131.0,113.0,9.0,2.0,18.71,115.93,1.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,106.33045261095724,30.376516516516517,68.35348456373688,0.6599975313504084,77.3761107779898
175,Devon Conway,New Zealand,Wicketkeeper Batter,Batsman,5.0,145.0,124.0,12.0,2.0,29.0,116.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.95678531701894,27.013513513513516,69.98514941526622,0.4604616511724723,76.43024490672735
26,Mitchell Marsh,Australia,Allrounder,Batsman,4.0,106.0,81.0,8.0,6.0,26.5,130.86,1.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,103.3909620312136,25.815015015015017,64.6029885231143,0.8966655312022901,76.18844312738105
65,Rashid Khan,Afghanistan,Bowling Allrounder,Bits and Pieces,3.0,57.0,32.0,4.0,4.0,19.0,178.12,12.0,4.0,77.0,0.0,2.0,0.0,19.25,6.42,18.0,98.46236842105263,39.49916666666667,68.98076754385966,0.4714120281900346,75.48444025065089
184,Mitchell Santner,New Zealand,Bowling Allrounder,Bowling All-rounder,3.0,27.0,16.0,0.0,2.0,9.0,168.75,20.0,9.0,129.0,0.0,0.0,0.0,14.33,6.45,13.33,80.03999999999999,51.909,65.97449999999999,0.6984604082636477,75.190615240998
126,Shaheen Shah Afridi,Pakistan,Bowler,Bowling All-rounder,3.0,22.0,12.0,2.0,1.0,7.33,183.33,25.1,11.0,155.0,0.0,2.0,0.0,14.09,6.18,13.69,79.21939393939394,60.29163346613545,69.75551370276469,0.3330104866987787,74.40137721638088
39,Sean Williams,Zimbabwe,Middle order Batter,Batting All-rounder,8.0,155.0,137.0,14.0,2.0,19.38,113.14,18.0,5.0,111.0,0.0,4.0,1.0,22.2,6.17,21.6,115.40844125264894,32.71,74.05922062632447,0.0028599890613882,74.10158233850171
110,Brandon King,West Indies,Top order Batter,Batsman,2.0,79.0,63.0,9.0,1.0,39.5,125.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.7697166968053,24.012012012012015,65.89086435440866,0.6133702487342455,73.97396352608428
25,Aaron Finch,Australia,Top order Batter,Batsman,3.0,107.0,97.0,6.0,5.0,35.67,110.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.63667790731286,24.012012012012015,66.82434495966244,0.5242836800402454,73.83132765800856
38,Wessly Madhevere,Zimbabwe,Allrounder,Batsman,8.0,106.0,83.0,15.0,2.0,13.25,127.71,3.0,0.0,25.0,0.0,0.0,0.0,0.0,8.33,0.0,103.26169583996362,27.515015015015017,65.38835542748932,0.5893361643952992,73.09549994423993
76,Chris Woakes,England,Allrounder,Bits and Pieces,1.0,5.0,3.0,1.0,0.0,5.0,166.67,20.0,5.0,172.0,0.0,9.0,0.0,34.4,8.6,24.0,92.16666666666667,33.545,62.85583333333334,0.7888754713713645,72.77291836318798
81,Muhammad Waseem,U.A.E.,Opening Batter,Bits and Pieces,3.0,93.0,92.0,2.0,5.0,31.0,101.09,2.0,1.0,16.0,0.0,0.0,0.0,16.0,8.0,12.0,96.71141654978962,24.68,60.69570827489481,0.9826895439381274,72.62471585162642
178,James Neesham,New Zealand,Batting Allrounder,Batsman,5.0,53.0,37.0,2.0,2.0,10.6,143.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.96985721570627,33.01651651651652,62.993186866111394,0.7301236899031314,72.19175047279994
