player_id,name,team,playing_role,performance_type,matches_played,batting_runs,total_balls,total_fours,total_sixes,batting_average,strike_rate,total_overs,total_wickets,bowling_runs,total_maidens,total_wides,total_noballs,bowling_average,economy_rate,bowling_strike_rate
141,Soumya Sarkar,Bangladesh,Middle order Batter,Bits and Pieces,4.0,49.0,39.0,3.0,3.0,12.25,125.64,3.0,1.0,29.0,0.0,1.0,0.0,29.0,9.67,18.0
142,Litton Das,Bangladesh,Wicketkeeper Batter,Batsman,5.0,127.0,89.0,11.0,5.0,25.4,142.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Shakib Al Hasan,Bangladesh,Allrounder,Batsman,5.0,44.0,46.0,3.0,0.0,8.8,95.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Afif Hossain,Bangladesh,Allrounder,Bits and Pieces,5.0,95.0,76.0,6.0,3.0,19.0,125.0,1.0,1.0,11.0,0.0,0.0,0.0,11.0,11.0,6.0
145,Yasir Ali,Bangladesh,Middle order Batter,Batsman,3.0,5.0,9.0,0.0,0.0,1.67,55.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Nurul Hasan,Bangladesh,Wicketkeeper Batter,Batsman,5.0,41.0,42.0,2.0,1.0,8.2,97.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Mosaddek Hossain,Bangladesh,Middle order Batter,Bits and Pieces,5.0,38.0,39.0,2.0,2.0,7.6,97.44,7.0,2.0,64.0,0.0,0.0,2.0,32.0,9.14,21.0
148,Taskin Ahmed,Bangladesh,Bowler,Bowling All-rounder,4.0,23.0,30.0,2.0,1.0,5.75,76.67,18.0,8.0,131.0,1.0,0.0,4.0,16.38,7.28,13.5
149,Hasan Mahmud,Bangladesh,Bowler,Bowler,2.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,6.0,134.0,1.0,5.0,1.0,22.33,8.38,16.0
151,Shakib Al Hasan,Bangladesh,Allrounder,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,167.0,0.0,1.0,1.0,27.83,8.79,19.0
152,Mustafizur Rahman,Bangladesh,Bowler,Bits and Pieces,2.0,9.0,4.0,0.0,1.0,4.5,225.0,20.0,3.0,112.0,0.0,2.0,0.0,37.33,5.6,40.0
190,Shoriful Islam,Bangladesh,Bowler,Unused Player,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,57.0,0.0,2.0,2.0,0.0,14.25,0.0
198,Nasum Ahmed,Bangladesh,Bowler,Bits and Pieces,1.0,7.0,6.0,1.0,0.0,7.0,116.67,4.0,1.0,14.0,0.0,2.0,0.0,14.0,3.5,24.0
201,Ebadot Hossain,Bangladesh,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.0,25.0,0.0,0.0,1.0,25.0,8.06,18.6
219,Mehidy Hasan Miraz,Bangladesh,Allrounder,Batsman,1.0,11.0,13.0,0.0,0.0,11.0,84.62,3.0,0.0,32.0,0.0,0.0,0.0,0.0,10.67,0.0
69,Jos Buttler,England,Wicketkeeper Batter,Batsman,6.0,225.0,156.0,24.0,7.0,37.5,144.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Alex Hales,England,Opening Batter,Batsman,6.0,212.0,144.0,19.0,10.0,35.33,147.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Dawid Malan,England,Top order Batter,Batsman,3.0,56.0,68.0,2.0,0.0,18.67,82.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Ben Stokes,England,Allrounder,All-rounder,5.0,110.0,104.0,7.0,1.0,22.0,105.77,16.2,6.0,111.0,0.0,3.0,1.0,18.5,6.85,16.2
73,Liam Livingstone,England,Batting Allrounder,Bits and Pieces,5.0,55.0,44.0,4.0,1.0,11.0,125.0,12.0,3.0,96.0,0.0,1.0,0.0,32.0,8.0,24.0
74,Harry Brook,England,Batter,Batsman,5.0,56.0,58.0,2.0,1.0,11.2,96.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Moeen Ali,England,Batting Allrounder,Batsman,5.0,57.0,46.0,6.0,1.0,11.4,123.91,2.0,0.0,9.0,0.0,0.0,0.0,0.0,4.5,0.0
76,Chris Woakes,England,Allrounder,Bits and Pieces,1.0,5.0,3.0,1.0,0.0,5.0,166.67,20.0,5.0,172.0,0.0,9.0,0.0,34.4,8.6,24.0
77,Mark Wood,England,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,108.0,0.0,4.0,0.0,12.0,7.71,9.33
78,Sam Curran,England,Allrounder,Bowling All-rounder,2.0,12.0,14.0,0.0,1.0,6.0,85.71,22.4,13.0,148.0,0.0,3.0,0.0,11.38,6.61,10.34
79,Adil Rashid,England,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,147.0,1.0,1.0,0.0,36.75,6.12,36.0
216,Phil Salt,England,Wicketkeeper Batter,Batsman,1.0,10.0,9.0,2.0,0.0,10.0,111.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Chris Jordan,England,Bowler,Bowler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,70.0,0.0,1.0,0.0,14.0,8.75,9.6
128,KL Rahul,India,Opening Batter,Batsman,6.0,128.0,106.0,8.0,8.0,21.33,120.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Rohit Sharma,India,Top order Batter,Batsman,6.0,116.0,109.0,11.0,4.0,19.33,106.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Virat Kohli,India,Top order Batter,Batsman,6.0,296.0,217.0,25.0,8.0,49.33,136.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Suryakumar Yadav,India,Batter,Batsman,6.0,239.0,126.0,26.0,9.0,39.83,189.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Axar Patel,India,Bowling Allrounder,Bits and Pieces,3.0,9.0,9.0,1.0,0.0,3.0,100.0,13.2,3.0,115.0,0.0,0.0,0.0,38.33,8.71,26.4
133,Hardik Pandya,India,Allrounder,All-rounder,5.0,128.0,97.0,7.0,7.0,25.6,131.96,18.0,8.0,146.0,0.0,3.0,1.0,18.25,8.11,13.5
134,Dinesh Karthik,India,Wicketkeeper Batter,Batsman,3.0,14.0,22.0,1.0,0.0,4.67,63.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Ravichandran Ashwin,India,Bowling Allrounder,Bowling All-rounder,4.0,21.0,18.0,1.0,1.0,5.25,116.67,19.0,6.0,155.0,0.0,5.0,0.0,25.83,8.16,19.0
136,Bhuvneshwar Kumar,India,Bowler,Bits and Pieces,1.0,4.0,6.0,0.0,0.0,4.0,66.67,18.4,4.0,115.0,3.0,5.0,0.0,28.75,6.25,27.6
137,Arshdeep Singh,India,Bowler,Bowling All-rounder,1.0,2.0,1.0,0.0,0.0,2.0,200.0,20.0,10.0,156.0,0.0,6.0,1.0,15.6,7.8,12.0
138,Mohammed Shami,India,Bowler,Bowler,1.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,6.0,143.0,0.0,1.0,0.0,23.83,7.15,20.0
