team,position,name,playing_role,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating
Netherlands,1,Scott Edwards,Wicketkeeper Batter,80.1343956043956,27.01351351351352,53.57395455895456,0.5513769579515738,59.481843376985005
Netherlands,2,Max O'Dowd,Opening Batter,161.37931193542187,24.01201201201201,92.69566197371694,0.9040910782935396,109.45672617110718
Netherlands,3,Stephan Myburgh,Opening Batter,96.18352941176472,24.01201201201201,60.09777071188836,0.7086945277037742,68.61596295803064
Netherlands,4,Tom Cooper,Middle order Batter,95.20565375192815,27.01351351351352,61.10958363272084,0.0922019492730034,62.236468178760525
Netherlands,5,Tim Pringle,Allrounder,56.35476673427992,34.641176470588235,45.49797160243408,0.7155036528115012,52.008764577845184
Netherlands,6,Colin Ackermann,Batting Allrounder,118.3748322147651,33.848571428571425,76.11170182166826,0.1047807117781505,77.70670947997242
Netherlands,7,Bas de Leede,Batting Allrounder,77.72887510339125,55.74,66.73443755169562,0.3127945379002229,70.9092710628984
Netherlands,8,Shariz Ahmad,Bowler,59.62526315789475,36.27,47.94763157894737,0.4765116041333637,52.517152146563326
Netherlands,9,Paul van Meekeren,Bowler,80.13333333333334,57.56516129032258,68.84924731182795,0.717313823799403,78.72655068281956
Netherlands,10,Vikramjit Singh,Opening Batter,84.85955857385399,24.01201201201201,54.435785292933005,0.2543553885486157,57.20499235675961
Netherlands,11,Fred Klaassen,Bowler,31.490909090909096,47.708,39.59945454545455,0.9379096049928468,47.02759629958644
New Zealand,1,Devon Conway,Wicketkeeper Batter,112.95678531701894,27.01351351351352,69.98514941526622,0.4604616511724723,76.43024490672735
New Zealand,2,Finn Allen,Top order Batter,151.65386996904024,24.01201201201201,87.83294099052613,0.7147454357405026,100.3885797266548
New Zealand,3,Kane Williamson,Top order Batter,134.88942938973344,24.01201201201201,79.45072070087272,0.9857500068103804,95.11443039526772
New Zealand,4,James Neesham,Batting Allrounder,92.96985721570628,33.01651651651652,62.993186866111394,0.7301236899031314,72.19175047279994
New Zealand,5,Mitchell Santner,Bowling Allrounder,80.03999999999999,51.909,65.97449999999999,0.6984604082636477,75.190615240998
New Zealand,6,Daryl Mitchell,Allrounder,91.15008094981113,30.015015015015017,60.58254798241308,0.3160038210215707,64.41141131234612
New Zealand,7,Tim Southee,Bowler,73.73333333333333,53.43488372093023,63.58410852713178,0.6258483855412228,71.54291086068845
New Zealand,8,Ish Sodhi,Bowler,33.68,47.1,40.39,0.1159108374474054,41.32632774490014
New Zealand,9,Glenn Phillips,Wicketkeeper Batter,156.32600423081445,27.01351351351352,91.66975887216398,0.9062369505420282,108.28466341961058
New Zealand,10,Lockie Ferguson,Bowler,0.0,47.892631578947366,23.946315789473683,0.2841370360974762,25.307122828248733
New Zealand,11,Trent Boult,Bowler,0.0,51.936,25.968,0.896492191855575,30.62402184762112
Australia,1,Matthew Wade,Wicketkeeper Batter,74.20809523809525,27.01351351351352,50.61080437580439,0.5694283425188427,56.37464966565632
Australia,2,David Warner,Opening Batter,86.98855875831487,24.01201201201201,55.50028538516344,0.9989387492162638,66.5885625179236
Australia,3,Aaron Finch,Top order Batter,109.63667790731286,24.01201201201201,66.82434495966244,0.5242836800402454,73.83132765800856
Australia,4,Steven Smith,Middle order Batter,78.32000000000001,27.01351351351352,52.66675675675676,0.3686136185944952,56.5494935143056
Australia,5,Tim David,Middle order Batter,89.90478632478633,27.01351351351352,58.45914991914992,0.0224869259447383,58.72206323415477
Australia,6,Mitchell Marsh,Allrounder,103.3909620312136,25.815015015015017,64.6029885231143,0.8966655312022901,76.18844312738105
Australia,7,Marcus Stoinis,Batting Allrounder,134.13311355311356,30.11555555555556,82.12433455433455,0.3711320505441049,88.22012909087861
Australia,8,Cameron Green,Batting Allrounder,66.99000000000001,30.87151651651652,48.930758258258265,0.4046058194400029,52.89029216643892
Australia,9,Pat Cummins,Bowler,54.64,37.7925,46.21625,0.7666679776771486,53.30275378466431
Australia,10,Mitchell Starc,Bowler,19.24571428571429,42.09,30.667857142857144,0.5372094768967054,33.96286984150858
Australia,11,Glenn Maxwell,Batting Allrounder,132.4361690271651,40.23870967741936,86.33743935229224,0.7244230361176768,98.84640534153488
Sri Lanka,1,Kusal Mendis,Wicketkeeper Batter,155.42913993331032,27.01351351351352,91.22132672341192,0.0236390889294231,91.65260453434686
Sri Lanka,2,Pathum Nissanka,Top order Batter,146.2705931718482,24.01201201201201,85.1413025919301,0.8033582914221802,98.82109686787248
Sri Lanka,3,Bhanuka Rajapaksa,Top order Batter,121.72685714285711,24.01201201201201,72.86943457743457,0.9737712840341476,87.06106715249672
Sri Lanka,4,Charith Asalanka,Batting Allrounder,106.33045261095724,30.37651651651652,68.35348456373688,0.6599975313504084,77.3761107779898
Sri Lanka,5,Dhananjaya de Silva,Allrounder,119.01612025238154,41.18181818181819,80.09896921709986,0.5497318897633491,88.9055607602624
Sri Lanka,6,Wanindu Hasaranga de Silva,Allrounder,46.51176470588236,62.28387096774193,54.39781783681215,0.8797299051000116,63.96889526145744
Sri Lanka,7,Maheesh Theekshana,Bowler,40.87376623376623,50.68106312292359,45.77741467834491,0.9379951041045784,54.36521284771543
Sri Lanka,8,Lahiru Kumara,Bowler,50.56,43.87005076142132,47.21502538071066,0.6180382354604996,53.05116357541408
Sri Lanka,9,Dasun Shanaka,Allrounder,81.71600831600831,30.015015015015017,55.86551166551166,0.0784497337244206,56.74203856841924
Sri Lanka,10,Chamika Karunaratne,Bowling Allrounder,49.08078947368421,35.218333333333334,42.14956140350877,0.57575079850053,47.00309013041223
Sri Lanka,11,Pramod Madushan,Bowler,32.24,40.8,36.52,0.4274281692867951,39.641935348470746
Pakistan,1,Mohammad Rizwan,Wicketkeeper Batter,120.58357142857145,27.01351351351352,73.79854247104248,0.657173059373204,83.49822525763814
Pakistan,2,Fakhar Zaman,Opening Batter,88.8,24.01201201201201,56.40600600600601,0.4594067542277149,61.58866603363965
Pakistan,3,Shan Masood,Opening Batter,130.8653281853282,24.01201201201201,77.4386700986701,0.0170795326356043,77.7031933573117
Pakistan,4,Mohammad Haris,Middle order Batter,116.12386367133404,27.01351351351352,71.56868859242378,0.992247519670907,85.77145934081018
Pakistan,5,Iftikhar Ahmed,Middle order Batter,108.92390492359932,27.282857142857143,68.10338103322823,0.7159942221651084,77.85570649916828
Pakistan,6,Babar Azam,Batter,87.07387824399709,30.015015015015017,58.544446629506055,0.4125254911516881,63.37466194951421
Pakistan,7,Mohammad Nawaz,Allrounder,80.54705882352941,33.099999999999994,56.8235294117647,0.7922167710550491,65.82684000987267
Pakistan,8,Mohammad Wasim,Allrounder,48.89090909090909,40.98823529411764,44.93957219251337,0.4543502578004291,49.02323343473525
Pakistan,9,Shadab Khan,Allrounder,114.74130893736805,51.15384615384615,82.9475775456071,0.7249303084281659,94.97382014030832
Pakistan,10,Haris Rauf,Bowler,62.51428571428571,55.45846153846154,58.98637362637363,0.7948194773288844,68.36307735742174
Pakistan,11,Shaheen Shah Afridi,Bowler,79.21939393939394,60.29163346613545,69.75551370276469,0.3330104866987787,74.40137721638088
Ireland,1,Lorcan Tucker,Wicketkeeper Batter,138.563955250812,27.01351351351352,82.78873438216276,0.5565623032635673,92.0041521205652
Ireland,2,Harry Tector,Middle order Batter,73.00980392156863,27.01351351351352,50.011658717541074,0.5467495466719238,55.48042906396639
Ireland,3,Andy Balbirnie,Batter,114.08747010999522,30.015015015015017,72.05124256250512,0.5942026141954841,80.6138498998398
Ireland,4,Fionn Hand,Bowling Allrounder,60.51272727272726,29.436000000000003,44.974363636363634,0.8651909239893198,52.75664588243906
Ireland,5,Paul Stirling,Batting Allrounder,134.40940250115796,33.01651651651652,83.71295950883723,0.6654543945620535,94.85439086622743
Ireland,6,Curtis Campher,Allrounder,117.54025974025974,31.85,74.69512987012988,0.9099355739836884,88.28868104456244
Ireland,7,Barry McCarthy,Bowler,54.21575757575758,39.9312,47.073478787878784,0.9788005627993732,56.28858829397881
Ireland,8,Josh Little,Bowler,43.22095238095238,56.30222222222222,49.7615873015873,0.1213000071385799,50.968803480569214
Ireland,9,George Dockrell,Allrounder,91.99277108433736,29.2125,60.60263554216867,0.0047098450990891,60.6597213473687
Ireland,10,Simi Singh,Bowling Allrounder,45.31857142857143,37.10666666666667,41.21261904761905,0.6608214878947144,46.65945589543618
Ireland,11,Gareth Delany,Batting Allrounder,95.25309178743964,39.88798283261803,67.57053731002883,0.1452446828302062,69.53338956208117
Bangladesh,1,Nurul Hasan,Wicketkeeper Batter,67.75067363530779,27.01351351351352,47.38209357441065,0.5052744707546162,52.17028602522186
Bangladesh,2,Najmul Hossain Shanto,Top order Batter,138.23184713375795,24.01201201201201,81.12192957288498,0.6259757158429163,91.27800115987404
Bangladesh,3,Soumya Sarkar,Middle order Batter,91.65613291470434,26.49,59.07306645735217,0.551002041145432,65.58294249629633
Bangladesh,4,Mosaddek Hossain,Middle order Batter,72.78021592442646,27.874285714285715,50.32725081935609,0.7949956997668495,58.32924041585124
Bangladesh,5,Afif Hossain,Allrounder,91.76315789473684,31.2,61.481578947368426,0.7181696547857194,70.31241981303094
Bangladesh,6,Shakib Al Hasan,Allrounder,59.64268774703558,30.015015015015017,44.8288513810253,0.3455116689989422,47.92662963301802
Bangladesh,7,Mehidy Hasan Miraz,Allrounder,37.14615384615384,26.81501501501501,31.98058443058443,0.655802536308057,36.17517410702267
Bangladesh,8,Taskin Ahmed,Bowler,44.66202898550725,55.11333333333333,49.88768115942029,0.4841403563893115,54.7182091066119
Bangladesh,9,Mustafizur Rahman,Bowler,90.16,40.434,65.297,0.0138327233802514,65.47764706771206
Bangladesh,10,Litton Das,Wicketkeeper Batter,123.9248633106255,27.01351351351352,75.46918841206951,0.9010177888493685,89.06900466592937
Bangladesh,11,Nasum Ahmed,Bowler,52.72761904761904,36.69,44.70880952380952,0.1306379154590139,45.87694265957844
Scotland,1,Matthew Cross,Wicketkeeper Batter,73.85166666666667,27.01351351351352,50.432590090090095,0.9559281592999008,60.07457669279935
Scotland,2,George Munsey,Opening Batter,117.39377514423826,24.01201201201201,70.70289357812514,0.6747886402094627,80.24479546141663
Scotland,3,Michael Jones,Top order Batter,129.11688311688312,24.01201201201201,76.56444756444756,0.7609940386822563,88.21746519875653
Scotland,4,Richie Berrington,Top order Batter,93.42233766233768,24.01201201201201,58.71717483717484,0.2352167437052746,61.47942737012954
Scotland,5,Calum MacLeod,Top order Batter,85.8613953488372,21.37201201201201,53.61670368042461,0.1102065114742338,54.79848565429806
Scotland,6,Michael Leask,Allrounder,71.58831168831169,36.49,54.03915584415584,0.3930766126624841,58.28746151022801
Scotland,7,Chris Greaves,Bowler,48.44304093567252,32.17801801801802,40.31052947684528,0.9721687457473762,48.14825685322874
Scotland,8,Josh Davey,Bowler,43.626666666666665,38.844,41.23533333333333,0.0235807460419353,41.42980531799091
Scotland,9,Mark Watt,Bowler,0.0,45.35,22.675,0.481474086951747,24.85848498432617
Scotland,10,Brad Wheal,Bowler,0.0,44.10999999999999,22.055,0.5334334660520063,24.4079750187554
Scotland,11,Safyaan Sharif,Bowler,0.0,35.83255813953488,17.91627906976744,0.5628798296457482,19.93322149190272
Afghanistan,1,Rahmanullah Gurbaz,Wicketkeeper Batter,104.60352941176473,27.01351351351352,65.8085214626391,0.0855466867231097,66.93446165649418
Afghanistan,2,Ibrahim Zadran,Opening Batter,91.26506024096383,24.01201201201201,57.638536126487935,0.416159051838464,62.43589583523919
Afghanistan,3,Usman Ghani,Opening Batter,81.354406779661,24.01201201201201,52.68320939583651,0.754878250027212,60.63709117874576
Afghanistan,4,Darwish Rasooli,Top order Batter,70.38461538461539,24.01201201201201,47.1983136983137,0.351437783696268,50.51576785038101
Afghanistan,5,Najibullah Zadran,Middle order Batter,67.90964404894328,27.01351351351352,47.4615787812284,0.3285209975919934,50.580003822928425
Afghanistan,6,Gulbadin Naib,Batting Allrounder,93.00806041335454,29.46901651651652,61.23853846493553,0.8252816758308972,71.34634719489091
Afghanistan,7,Rashid Khan,Bowling Allrounder,98.46236842105264,39.49916666666667,68.98076754385966,0.4714120281900346,75.48444025065089
Afghanistan,8,Azmatullah Omarzai,Allrounder,58.20909090909092,25.305337595660177,41.75721425237555,0.3707181111225279,44.85324537105142
Afghanistan,9,Mujeeb Ur Rahman,Bowler,10.906666666666666,43.36,27.133333333333333,0.9680457430683698,32.38659489905102
Afghanistan,10,Naveen-ul-Haq,Bowler,0.0,43.56,21.78,0.9753537544356417,26.02864095432165
Afghanistan,11,Mohammad Nabi,Allrounder,57.4921568627451,30.015015015015017,43.75358593888006,0.216643760369811,45.64937421637259
West Indies,1,Johnson Charles,Wicketkeeper Batter,99.07917874396136,27.01351351351352,63.04634612873744,0.0764055625503272,64.0097644372792
West Indies,2,Evin Lewis,Opening Batter,68.26285714285714,24.01201201201201,46.137434577434576,0.7722353928956308,53.2632265610549
West Indies,3,Brandon King,Top order Batter,107.7697166968053,24.01201201201201,65.89086435440866,0.6133702487342455,73.97396352608428
West Indies,4,Rovman Powell,Middle order Batter,78.82164835164836,27.01351351351352,52.91758093258094,0.8976054643440758,62.41740289357184
West Indies,5,Shamarh Brooks,Top order Batter,17.439999999999998,24.01201201201201,20.726006006006006,0.9536268685133574,24.67898124686532
West Indies,6,Kyle Mayers,Batting Allrounder,86.32196078431375,26.85651651651652,56.58923865041513,0.4338211765201301,61.49916066835544
West Indies,7,Jason Holder,Bowling Allrounder,67.48285714285716,43.76274509803922,55.62280112044819,0.4889352644028145,61.06199091497849
West Indies,8,Odean Smith,Bowling Allrounder,64.93909090909091,32.69444444444445,48.81676767676768,0.0098793303084443,48.91322307126156
West Indies,9,Akeal Hosein,Bowler,54.18105263157895,37.28,45.73052631578948,0.3713705622626204,49.12712056988154
West Indies,10,Alzarri Joseph,Bowler,0.0,47.60999999999999,23.805,0.99855375811688,28.559114442394463
West Indies,11,Nicholas Pooran,Wicketkeeper Batter,54.10103448275862,27.01351351351352,40.55727399813607,0.0760209957430327,41.17391486892833
U.A.E.,1,Vriitya Aravind,Wicketkeeper,48.94225352112676,30.015015015015017,39.47863426807089,0.7490659592703357,45.39305447780994
U.A.E.,2,Muhammad Waseem,Opening Batter,96.71141654978962,24.68,60.69570827489481,0.9826895439381274,72.62471585162642
U.A.E.,3,Chirag Suri,Opening Batter,63.51384615384615,24.01201201201201,43.76292908292908,0.4030240878510226,47.29043199799637
U.A.E.,4,Basil Hameed,Middle order Batter,92.61172043010754,31.752,62.181860215053774,0.74460771448848,71.44207877852844
U.A.E.,5,Chundangapoyil Rizwan,Middle order Batter,86.28529411764706,27.01351351351352,56.649403815580285,0.0160134330570541,56.83083410272484
U.A.E.,6,Aayan Afzal Khan,Bowling Allrounder,41.83714285714285,36.52,39.17857142857143,0.4724767117041777,42.88076394813916
U.A.E.,7,Kashif Daud,Bowling Allrounder,44.85,29.88151651651652,37.36575825825826,0.1536426908006163,38.513953386779086
U.A.E.,8,Junaid Siddique,Bowler,51.53568627450982,40.74999999999999,46.14284313725491,0.6678520721492324,52.30616181806944
U.A.E.,9,Zahoor Khan,Bowler,32.24,45.14,38.69,0.7417927480099195,44.42999228410076
U.A.E.,10,Alishan Sharafu,Opening Batter,49.440000000000005,24.01201201201201,36.72600600600601,0.7712123893412703,42.39071617457676
U.A.E.,11,Karthik Meiyappan,Bowler,16.96,47.00000000000001,31.980000000000004,0.6329144461037092,36.02812079727933
Namibia,1,Zane Green,Wicketkeeper Batter,29.993333333333336,27.01351351351352,28.503423423423428,0.6866223105111686,32.41764071311726
Namibia,2,Divan la Cock,Opening Batter,58.51272727272728,24.01201201201201,41.26236964236965,0.762093058153564,47.5515227358529
Namibia,3,Stephan Baard,Batter,59.73924646781789,30.015015015015017,44.87713074141645,0.4218275230255307,48.66321252164537
Namibia,4,Jan Nicol Loftie-Eaton,Batter,71.15714285714286,27.11501501501501,49.13607893607894,0.3186026759573747,52.26705618309644
Namibia,5,Jan Frylinck,Allrounder,82.65175130416267,36.71818181818182,59.684966561172246,0.7946723541462042,69.1709651380331
Namibia,6,JJ Smit,Bowling Allrounder,88.18886287625419,37.43000000000001,62.8094314381271,0.5220734485957028,69.36765873317476
Namibia,7,David Wiese,Allrounder,98.11168831168833,34.33495145631068,66.2233198839995,0.2967982848523047,70.15431343575881
Namibia,8,Ruben Trumpelmann,Bowler,48.93333333333334,32.23801801801802,40.58567567567568,0.2816480546894589,42.87185099613794
Namibia,9,Bernard Scholtz,Bowler,32.24,44.77,38.505,0.8651115934525265,45.16722438117791
Namibia,10,Michael van Lingen,Bowling Allrounder,58.0009090909091,33.01651651651652,45.50871280371281,0.3068238186799104,48.30134421284131
Namibia,11,Gerhard Erasmus,Allrounder,54.882051282051286,30.015015015015017,42.44853314853315,0.6501682407308114,47.96827077229022
