player_id,name,team,playing_role,batting_rating,bowling_rating,overall_rating,role_consistency_score,final_rating
212,Rishabh Pant,India,Wicketkeeper Batter,19.93,99.28,59.6,-0.91,41.45
44,Paul Stirling,Ireland,Batting Allrounder,61.54,99.28,80.41,1.3,56.68
45,Andy Balbirnie,Ireland,Batter,60.17,99.28,79.72,0.49,55.95
46,Lorcan Tucker,Ireland,Wicketkeeper Batter,78.28,99.28,88.78,1.59,62.62
47,Harry Tector,Ireland,Middle order Batter,33.08,99.28,66.18,0.42,46.45
48,Curtis Campher,Ireland,Allrounder,60.74,54.13,57.43,0.15,40.25
49,George Dockrell,Ireland,Allrounder,46.98,35.08,41.03,-1.12,28.38
50,Gareth Delany,Ireland,Batting Allrounder,40.14,67.26,53.7,-0.7,37.38
51,Mark Adair,Ireland,Bowling Allrounder,22.85,40.5,31.68,-1.26,21.8
52,Simi Singh,Ireland,Bowling Allrounder,15.66,67.28,41.47,-0.49,28.88
53,Barry McCarthy,Ireland,Bowler,26.56,48.89,37.72,-0.54,26.24
54,Josh Little,Ireland,Bowler,17.4,89.34,53.37,0.95,37.64
153,Fionn Hand,Ireland,Bowling Allrounder,22.33,33.37,27.85,-1.56,19.03
1,Michael van Lingen,Namibia,Bowling Allrounder,27.42,99.28,63.35,1.23,44.71
2,Divan la Cock,Namibia,Opening Batter,16.05,99.28,57.66,-0.99,40.07
3,Jan Nicol Loftie-Eaton,Namibia,Batter,24.22,90.95,57.58,-1.09,39.98
4,Stephan Baard,Namibia,Batter,30.31,99.28,64.79,-0.58,45.18
5,Gerhard Erasmus,Namibia,Allrounder,29.85,99.28,64.57,0.7,45.41
6,Jan Frylinck,Namibia,Allrounder,47.72,71.35,59.54,0.31,41.77
7,David Wiese,Namibia,Allrounder,46.06,74.43,60.24,0.36,42.28
8,JJ Smit,Namibia,Bowling Allrounder,40.4,68.73,54.57,0.54,38.36
20,Gerhard Erasmus,Namibia,Allrounder,0.0,92.9,46.45,-0.7,32.31
21,Bernard Scholtz,Namibia,Bowler,17.66,83.71,50.68,0.7,35.69
22,Ben Shikongo,Namibia,Bowler,0.02,81.69,40.86,-0.24,28.53
86,Zane Green,Namibia,Wicketkeeper Batter,12.25,99.28,55.76,-1.24,38.66
87,Ruben Trumpelmann,Namibia,Bowler,27.11,93.09,60.1,1.59,42.55
96,Vikramjit Singh,Netherlands,Opening Batter,31.06,99.28,65.17,-0.27,45.54
97,Max O'Dowd,Netherlands,Opening Batter,80.12,99.28,89.7,2.06,63.41
98,Bas de Leede,Netherlands,Batting Allrounder,36.21,94.49,65.35,0.17,45.8
99,Colin Ackermann,Netherlands,Batting Allrounder,60.58,56.69,58.64,-0.33,40.95
100,Tom Cooper,Netherlands,Middle order Batter,44.74,99.28,72.01,1.11,50.74
101,Scott Edwards,Netherlands,Wicketkeeper Batter,37.66,99.28,68.47,-0.15,47.88
102,Roelof van der Merwe,Netherlands,Allrounder,8.03,55.88,31.96,-1.83,21.82
103,Tim Pringle,Netherlands,Allrounder,28.68,61.73,45.2,-0.8,31.4
104,Logan van Beek,Netherlands,Bowler,15.35,52.27,33.81,-0.91,23.4
105,Fred Klaassen,Netherlands,Bowler,18.52,79.02,48.77,0.51,34.29
106,Paul van Meekeren,Netherlands,Bowler,39.56,86.87,63.21,1.89,44.82
150,Shariz Ahmad,Netherlands,Bowler,30.31,59.37,44.84,0.14,31.43
173,Timm van der Gugten,Netherlands,Bowler,0.02,27.76,13.89,-2.81,8.88
188,Stephan Myburgh,Netherlands,Opening Batter,32.51,99.28,65.89,-0.2,46.06
189,Brandon Glover,Netherlands,Bowler,0.02,92.69,46.36,0.29,32.54
174,Finn Allen,New Zealand,Top order Batter,57.12,99.28,78.2,0.37,54.85
175,Devon Conway,New Zealand,Wicketkeeper Batter,58.57,99.28,78.93,0.75,55.47
176,Kane Williamson,New Zealand,Top order Batter,66.84,99.28,83.06,0.81,58.38
177,Glenn Phillips,New Zealand,Wicketkeeper Batter,80.34,99.28,89.81,1.68,63.37
178,James Neesham,New Zealand,Batting Allrounder,38.55,99.28,68.91,0.44,48.37
182,Trent Boult,New Zealand,Bowler,0.02,83.2,41.61,-0.17,29.08
183,Tim Southee,New Zealand,Bowler,29.1,84.96,57.03,1.3,40.31
184,Mitchell Santner,New Zealand,Bowling Allrounder,34.24,91.58,62.91,1.2,44.4
185,Lockie Ferguson,New Zealand,Bowler,0.02,76.59,38.31,-0.48,26.67
186,Ish Sodhi,New Zealand,Bowler,19.37,77.79,48.58,0.5,34.16
191,Daryl Mitchell,New Zealand,Allrounder,51.75,99.28,75.52,1.55,53.33
118,Mohammad Rizwan,Pakistan,Wicketkeeper Batter,63.2,99.28,81.24,0.95,57.15
119,Babar Azam,Pakistan,Batter,47.6,99.28,73.44,0.04,51.42
120,Shan Masood,Pakistan,Opening Batter,62.22,99.28,80.75,1.21,56.89
121,Iftikhar Ahmed,Pakistan,Middle order Batter,49.81,63.18,56.5,-0.71,39.33
122,Shadab Khan,Pakistan,Allrounder,54.43,92.44,73.43,1.39,51.82
123,Haider Ali,Pakistan,Middle order Batter,7.77,99.28,53.52,-1.06,37.15
124,Mohammad Nawaz,Pakistan,Allrounder,36.53,72.72,54.63,-0.07,38.22
125,Asif Ali,Pakistan,Middle order Batter,12.2,99.28,55.74,-0.8,38.78
126,Shaheen Shah Afridi,Pakistan,Bowler,38.0,93.41,65.71,2.13,46.63
127,Haris Rauf,Pakistan,Bowler,27.59,80.04,53.81,0.99,37.97
139,Naseem Shah,Pakistan,Bowler,30.69,40.73,35.71,-0.73,24.78
199,Mohammad Haris,Pakistan,Middle order Batter,51.49,99.28,75.38,1.5,53.22
200,Mohammad Wasim,Pakistan,Allrounder,17.17,86.58,51.87,-0.28,36.23
204,Fakhar Zaman,Pakistan,Opening Batter,30.41,99.28,64.84,-0.3,45.3
154,George Munsey,Scotland,Opening Batter,54.41,99.28,76.84,0.84,54.04
155,Michael Jones,Scotland,Top order Batter,55.34,99.28,77.31,0.29,54.2
156,Matthew Cross,Scotland,Wicketkeeper Batter,27.2,99.28,63.24,-0.6,44.09
157,Richie Berrington,Scotland,Top order Batter,40.82,99.28,70.05,-0.36,48.93
158,Calum MacLeod,Scotland,Top order Batter,32.81,87.54,60.17,-1.24,41.75
159,Michael Leask,Scotland,Allrounder,29.56,80.27,54.91,-0.05,38.43
160,Chris Greaves,Scotland,Bowler,23.97,89.24,56.6,1.26,40.0
162,Mark Watt,Scotland,Bowler,0.02,85.43,42.73,-0.06,29.89
163,Brad Wheal,Scotland,Bowler,0.02,76.0,38.01,-0.51,26.46
164,Josh Davey,Scotland,Bowler,24.97,60.25,42.61,-0.07,29.8
165,Safyaan Sharif,Scotland,Bowler,0.02,54.33,27.17,-1.54,18.56
166,Quinton de Kock,South Africa,Wicketkeeper Batter,60.51,99.28,79.89,0.83,56.17
167,Temba Bavuma,South Africa,Middle order Batter,38.08,99.28,68.68,0.72,48.29
168,Kagiso Rabada,South Africa,Bowler,19.9,13.72,16.81,-2.53,11.01
169,Wayne Parnell,South Africa,Bowler,7.87,78.23,43.05,-0.03,30.13
170,Lungi Ngidi,South Africa,Bowler,36.51,84.65,60.58,1.64,42.9
171,Keshav Maharaj,South Africa,Bowler,24.95,61.57,43.26,-0.01,30.28
172,Anrich Nortje,South Africa,Bowler,16.13,99.72,57.92,1.39,40.96
194,Rilee Rossouw,South Africa,Top order Batter,61.92,99.28,80.6,0.59,56.59
195,Aiden Markram,South Africa,Opening Batter,48.57,71.9,60.23,-0.74,41.94
196,David Miller,South Africa,Middle order Batter,42.62,99.28,70.95,0.98,49.96
197,Tristan Stubbs,South Africa,Wicketkeeper Batter,26.23,99.28,62.75,-0.64,43.73
202,Heinrich Klaasen,South Africa,Wicketkeeper Batter,34.37,99.28,66.82,-0.29,46.69
215,Tabraiz Shamsi,South Africa,Bowler,17.66,82.94,50.3,0.66,35.41
9,Pathum Nissanka,Sri Lanka,Top order Batter,73.37,99.28,86.32,1.1,60.75
10,Kusal Mendis,Sri Lanka,Wicketkeeper Batter,80.62,99.28,89.95,1.69,63.47
11,Dhananjaya de Silva,Sri Lanka,Allrounder,66.66,86.0,76.33,1.61,53.92
12,Danushka Gunathilaka,Sri Lanka,Allrounder,0.0,99.28,49.64,-0.46,34.61
13,Bhanuka Rajapaksa,Sri Lanka,Top order Batter,52.04,99.28,75.66,0.14,53.01
14,Dasun Shanaka,Sri Lanka,Allrounder,37.78,99.28,68.53,1.01,48.28
15,Wanindu Hasaranga de Silva,Sri Lanka,Allrounder,19.11,99.43,59.27,0.29,41.57
